"","X.2","X.1","Address","Project.Name","Street.Name","X","Resale.Price","Sale.Month","Type.of.Area","Area.in.SQM","Unit.Price.in.PSM","Property.Type","Postal.District","Market.Segment","Floor.Level","Type.of.Housing","No.of.Bedrooms","No.of.Multi.Purpose.Room","No.of.Bathrooms","No.of.Kitchens","No.of.Living.Rooms","Lease.Commence.Year","Remaining.Lease.in.Years","Resale_Price_Category","Remaining_Lease_Category","lon","lat","location"
"39513",39513,39513,"Block 318B, YISHUN AVE 9, Singapore","HDB","YISHUN AVE 9",59124,598000,"2022-05-01","Non",112,5339.285714,"Improved HDB",27,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2015,92.41666667,"500k-600k","70-100",103.8418408,1.4338825,"North"
"136767",136767,136767,"URBAN VISTA, TANAH MERAH KECHIL LINK, Singapore","URBAN VISTA","TANAH MERAH KECHIL LINK",123753,960000,"2022-09-01","Strata",57,16842,"Condominium",16,"Outside Central Region","06 to 10","Apartment & Condo",1,0,1,1,1,2012,87,"900k-1m","70-100",103.944488,1.3274163,"East"
"18830",18830,18830,"Block 181, BEDOK NTH RD, Singapore","HDB","BEDOK NTH RD",76411,750000,"2022-03-01","Non",110,6818.181818,"Improved HDB",16,"Outside Central Region","11 to 15","Public Housing",3,0,2,1,1,2006,82.91666667,"700k-800k","70-100",103.9305125,1.3306806,"East"
"109392",109392,109392,"MARINA ONE RESIDENCES, MARINA WAY, Singapore","MARINA ONE RESIDENCES","MARINA WAY",121553,3075000,"2022-04-01","Strata",108,28472,"Apartment",1,"Core Central Region","26 to 30","Apartment & Condo",2,0,1,1,1,2011,86,"3m-4m","70-100",103.853187,1.2767662,"East"
"8872",8872,8872,"Block 119, ANG MO KIO AVE 3, Singapore","HDB","ANG MO KIO AVE 3",7439,338888,"2021-06-01","Non",67,5058.029851,"New Generation HDB",20,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1978,56.41666667,"300k-400k","50-70",103.8572732,1.3690195,"East"
"89263",89263,89263,"Block 932B, HOUGANG AVE 9, Singapore","HDB","HOUGANG AVE 9",61754,612000,"2022-07-01","Non",92,6652.173913,"Model A HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2017,94.41666667,"600k-700k","70-100",103.8810633,1.3750117,"East"
"103034",103034,103034,"ICON, GOPENG STREET, Singapore","ICON","GOPENG STREET",113594,1300000,"2023-05-01","Strata",81,16049,"Apartment",2,"Core Central Region","16 to 20","Apartment & Condo",2,0,1,1,1,2002,77,"1.25m-1.5m","70-100",103.7924123,1.3014488,"South"
"103241",103241,103241,"IVORY HEIGHTS, JURONG EAST STREET 13, Singapore","IVORY HEIGHTS","JURONG EAST STREET 13",119058,1800000,"2023-02-01","Strata",158,11392,"Condominium",22,"Outside Central Region","11 to 15","Apartment & Condo",4,0,2,1,1,1986,62,"1.5m-2m","50-70",103.7373606,1.3354284,"West"
"71411",71411,71411,"Block 646, ANG MO KIO AVE 6, Singapore","HDB","ANG MO KIO AVE 6",9897,355000,"2021-03-01","Non",89,3988.764045,"New Generation HDB",20,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1980,58.66666667,"300k-400k","50-70",103.8451154,1.3760492,"Central"
"99309",99309,99309,"FLO RESIDENCE, PUNGGOL FIELD WALK, Singapore","FLO RESIDENCE","PUNGGOL FIELD WALK",127472,1050000,"2023-08-01","Strata",73,14384,"Condominium",19,"Outside Central Region","16 to 20","Apartment & Condo",2,0,1,1,1,2011,86,"1m-1.25m","70-100",103.9125735,1.3919511,"North"
"106279",106279,106279,"LANDED HOUSING DEVELOPMENT, EATON PLACE, Singapore","LANDED HOUSING DEVELOPMENT","EATON PLACE",91080,6088888,"2021-11-01","Land",367.1,16586,"Semi-Detached House",19,"Outside Central Region","-","Landed",5,1,3,1,1,NA,NA,"5m-10m",NA,103.8776681,1.3585632,"East"
"42539",42539,42539,"Block 338D, ANCHORVALE CRES, Singapore","HDB","ANCHORVALE CRES",76107,745000,"2023-05-01","Non",120,6208.333333,"3Gen HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2018,94,"700k-800k","70-100",103.8907686,1.398666,"North"
"73235",73235,73235,"Block 664B, PUNGGOL DR, Singapore","HDB","PUNGGOL DR",73395,711000,"2022-10-01","Non",110,6463.636364,"Improved HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2016,92.75,"700k-800k","70-100",103.9125114,1.4025582,"North"
"112984",112984,112984,"PALM ISLES, FLORA DRIVE, Singapore","PALM ISLES","FLORA DRIVE",108908,950000,"2023-11-01","Strata",75,12667,"Condominium",17,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2011,86,"900k-1m","70-100",103.9642805,1.3565477,"East"
"2718",2718,2718,"BAYWATER, BEDOK RESERVOIR ROAD, Singapore","BAYWATER","BEDOK RESERVOIR ROAD",129822,1420000,"2022-02-01","Strata",120,11833,"Condominium",16,"Outside Central Region","11 to 15","Apartment & Condo",3,0,2,1,1,2001,76,"1.25m-1.5m","70-100",103.9322995,1.3375618,"East"
"139677",139677,139677,"WING FONG MANSIONS, LORONG 14 GEYLANG, Singapore","WING FONG MANSIONS","LORONG 14 GEYLANG",118719,1068000,"2024-02-01","Strata",92,11609,"Apartment",14,"Rest of Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,NA,NA,"1m-1.25m",NA,103.8791105,1.3107929,"East"
"18006",18006,18006,"Block 175A, YUNG KUANG RD, Singapore","HDB","YUNG KUANG RD",56891,585000,"2021-07-01","Non",113,5176.99115,"Premium Apartment HDB",22,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2015,92.91666667,"500k-600k","70-100",103.7230853,1.3314888,"West"
"32988",32988,32988,"Block 282C, SENGKANG EAST AVE, Singapore","HDB","SENGKANG EAST AVE",75378,735000,"2022-12-01","Non",112,6562.5,"Premium Apartment HDB",19,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2015,91.75,"700k-800k","70-100",103.8934541,1.3866378,"East"
"72503",72503,72503,"Block 66, TELOK BLANGAH DR, Singapore","HDB","TELOK BLANGAH DR",71303,690000,"2022-02-01","Non",120,5750,"Standard HDB",3,"Rest of Central Region","11 to 15","Public Housing",3,0,2,1,1,1978,55.5,"600k-700k","50-70",103.807824,1.2729361,"South"
"98722",98722,98722,"EUHABITAT, JALAN EUNOS, Singapore","EUHABITAT","JALAN EUNOS",99852,740000,"2023-06-01","Strata",49,15102,"Condominium",14,"Outside Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,2010,85,"700k-800k","70-100",103.9063485,1.328235,"East"
"53755",53755,53755,"Block 455A, ANG MO KIO ST 44, Singapore","HDB","ANG MO KIO ST 44",27439,450000,"2023-02-01","Non",68,6617.647059,"Model A HDB",20,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,2018,94,"400k-500k","70-100",103.8574991,1.3663588,"East"
"41758",41758,41758,"Block 333D, ANCHORVALE LINK, Singapore","HDB","ANCHORVALE LINK",60564,605000,"2023-02-01","Non",92,6576.086957,"Model A HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2015,91.33333333,"600k-700k","70-100",103.8900824,1.3921549,"North"
"102894",102894,102894,"HOUGANG GREEN, BUANGKOK GREEN, Singapore","HOUGANG GREEN","BUANGKOK GREEN",127353,748000,"2023-03-01","Strata",71,10535,"Apartment",19,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,1994,69,"700k-800k","50-70",103.8826989,1.3793342,"East"
"104513",104513,104513,"KINGSFORD . HILLVIEW PEAK, HILLVIEW RISE, Singapore","KINGSFORD . HILLVIEW PEAK","HILLVIEW RISE",102691,1015000,"2021-09-01","Strata",96,10573,"Condominium",23,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,2012,87,"1m-1.25m","70-100",103.7641012,1.3645826,"West"
"22434",22434,22434,"Block 206, CLEMENTI AVE 6, Singapore","HDB","CLEMENTI AVE 6",82276,860000,"2021-05-01","Non",155,5548.387097,"Maisonette HDB",5,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1985,62.83333333,"800k-900k","50-70",103.7641898,1.3231593,"West"
"9879",9879,9879,"Block 121B, EDGEDALE PLAINS, Singapore","HDB","EDGEDALE PLAINS",30480,465000,"2021-08-01","Non",93,5000,"Model A HDB",19,"Outside Central Region","16 to 20","Public Housing",4,0,2,1,1,2017,94.83333333,"400k-500k","70-100",103.9132309,1.3984254,"North"
"112182",112182,112182,"ONE DEVONSHIRE, DEVONSHIRE ROAD, Singapore","ONE DEVONSHIRE","DEVONSHIRE ROAD",135399,3680000,"2023-09-01","Strata",113,32566,"Condominium",9,"Core Central Region","26 to 30","Apartment & Condo",3,0,2,1,1,NA,NA,"3m-4m",NA,103.8374719,1.2970632,"South"
"24498",24498,24498,"Block 217, MARSILING CRES, Singapore","HDB","MARSILING CRES",13752,378000,"2022-01-01","Non",104,3634.615385,"Model A HDB",25,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1982,59.83333333,"300k-400k","50-70",103.7749047,1.4481551,"North"
"108359",108359,108359,"LION TOWERS, ESSEX ROAD, Singapore","LION TOWERS","ESSEX ROAD",136300,3300000,"2023-10-01","Strata",173,19075,"Apartment",11,"Core Central Region","06 to 10","Apartment & Condo",4,0,2,1,1,NA,NA,"3m-4m",NA,103.8452911,1.3165802,"South"
"106643",106643,106643,"LANDED HOUSING DEVELOPMENT, JALAN KELAWAR, Singapore","LANDED HOUSING DEVELOPMENT","JALAN KELAWAR",91428,11880000,"2021-08-01","Land",454.9,26116,"Semi-Detached House",10,"Core Central Region","-","Landed",5,3,3,1,1,NA,NA,"10m-15m",NA,103.8275051,1.3010784,"South"
"43615",43615,43615,"Block 35, EUNOS CRES, Singapore","HDB","EUNOS CRES",76743,751800,"2022-12-01","Non",90,8353.333333,"Model A HDB",14,"Rest of Central Region","1 to 5","Public Housing",4,0,2,1,1,2006,83,"700k-800k","70-100",103.9037403,1.3215159,"East"
"92638",92638,92638,"CASA PASIR RIS, JALAN LOYANG BESAR, Singapore","CASA PASIR RIS","JALAN LOYANG BESAR",132155,1288800,"2023-08-01","Strata",112,11507,"Condominium",17,"Outside Central Region","01 to 05","Apartment & Condo",3,0,2,1,1,1938,860,"1.25m-1.5m","100+",103.9636688,1.3799114,"East"
"104615",104615,104615,"KINGSFORD WATERBAY, UPPER SERANGOON VIEW, Singapore","KINGSFORD WATERBAY","UPPER SERANGOON VIEW",101268,1010000,"2023-04-01","Strata",79,12785,"Apartment",19,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,2014,89,"1m-1.25m","70-100",103.9033261,1.3748577,"East"
"42369",42369,42369,"Block 337A, TAH CHING RD, Singapore","HDB","TAH CHING RD",31775,470000,"2021-09-01","Non",92,5108.695652,"Model A HDB",22,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2010,87.66666667,"400k-500k","70-100",103.7230735,1.3375173,"West"
"15328",15328,15328,"Block 155, ANG MO KIO AVE 4, Singapore","HDB","ANG MO KIO AVE 4",2717,3e+05,"2021-01-01","Non",68,4411.764706,"New Generation HDB",20,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1981,59.41666667,"300k-400k","50-70",103.839342,1.3762852,"Central"
"126700",126700,126700,"THE CASCADIA, BUKIT TIMAH ROAD, Singapore","THE CASCADIA","BUKIT TIMAH ROAD",121900,1680000,"2022-05-01","Strata",82,20488,"Condominium",21,"Rest of Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,NA,NA,"1.5m-2m",NA,103.7873976,1.3334285,"West"
"24187",24187,24187,"Block 215, TAMPINES ST 23, Singapore","HDB","TAMPINES ST 23",9975,355000,"2021-10-01","Non",67,5298.507463,"New Generation HDB",18,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1985,63,"300k-400k","50-70",103.9533691,1.3537876,"East"
"19894",19894,19894,"Block 189A, RIVERVALE DR, Singapore","HDB","RIVERVALE DR",54879,575000,"2021-05-01","Non",131,4389.312977,"Apartment HDB",19,"Outside Central Region","11 to 15","Public Housing",3,0,2,1,1,2000,78.33333333,"500k-600k","70-100",103.90452,1.3872851,"East"
"61744",61744,61744,"Block 524B, TAMPINES CTRL 7, Singapore","HDB","TAMPINES CTRL 7",24289,436000,"2021-03-01","Non",67,6507.462687,"Model A HDB",18,"Outside Central Region","16 to 20","Public Housing",3,0,1,1,1,2015,93.5,"400k-500k","70-100",103.9400907,1.3581378,"East"
"19383",19383,19383,"Block 185, BOON LAY AVE, Singapore","HDB","BOON LAY AVE",1925,287000,"2023-08-01","Non",59,4864.40678,"Improved HDB",22,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1975,51.25,"200k-300k","50-70",103.7103715,1.3470152,"West"
"23248",23248,23248,"Block 210, BOON LAY PL, Singapore","HDB","BOON LAY PL",7962,340000,"2023-12-01","Non",65,5230.769231,"Improved HDB",22,"Outside Central Region","16 to 20","Public Housing",3,0,1,1,1,1977,52.91666667,"300k-400k","50-70",103.7128869,1.3468732,"West"
"21535",21535,21535,"Block 200, TOA PAYOH NTH, Singapore","HDB","TOA PAYOH NTH",26183,445000,"2023-03-01","Non",87,5114.942529,"Improved HDB",12,"Rest of Central Region","1 to 5","Public Housing",4,0,2,1,1,1973,49.33333333,"400k-500k","40-50",103.8493198,1.3416825,"Central"
"80578",80578,80578,"Block 761, WOODLANDS AVE 6, Singapore","HDB","WOODLANDS AVE 6",63158,620000,"2023-12-01","Non",121,5123.966942,"Improved HDB",25,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1998,73.25,"600k-700k","70-100",103.8029865,1.4387795,"North"
"72669",72669,72669,"Block 661A, JURONG WEST ST 64, Singapore","HDB","JURONG WEST ST 64",41363,510000,"2022-09-01","Non",110,4636.363636,"Improved HDB",22,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2001,78,"500k-600k","70-100",103.703964,1.3411285,"West"
"83530",83530,83530,"Block 808C, CHAI CHEE RD, Singapore","HDB","CHAI CHEE RD",74576,725000,"2023-12-01","Non",93,7795.698925,"Model A HDB",16,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2016,92,"700k-800k","70-100",103.9232718,1.3256121,"East"
"116896",116896,116896,"REGENTVILLE, HOUGANG STREET 92, Singapore","REGENTVILLE","HOUGANG STREET 92",122525,1070000,"2023-01-01","Strata",100,10700,"Apartment",19,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,1996,71,"1m-1.25m","70-100",103.8779702,1.3742765,"East"
"32602",32602,32602,"Block 279B, SENGKANG EAST AVE, Singapore","HDB","SENGKANG EAST AVE",67703,655000,"2022-05-01","Non",92,7119.565217,"Premium Apartment HDB",19,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,2015,92.33333333,"600k-700k","70-100",103.8934541,1.3866378,"East"
"26270",26270,26270,"Block 227C, COMPASSVALE DR, Singapore","HDB","COMPASSVALE DR",58946,595000,"2023-11-01","Non",115,5173.913043,"Improved HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2000,75.25,"500k-600k","70-100",103.8969344,1.3878883,"East"
"127932",127932,127932,"THE FORESTA @ MOUNT FABER, WISHART ROAD, Singapore","THE FORESTA @ MOUNT FABER","WISHART ROAD",117542,2460000,"2021-12-01","Strata",143,17203,"Condominium",4,"Rest of Central Region","01 to 05","Apartment & Condo",4,0,2,1,1,NA,NA,"2m-2.5m",NA,103.8138523,1.2704484,"South"
"100788",100788,100788,"GUILIN VIEW, BUKIT BATOK STREET 52, Singapore","GUILIN VIEW","BUKIT BATOK STREET 52",129635,1220000,"2021-11-01","Strata",117,10427,"Condominium",23,"Outside Central Region","11 to 15","Apartment & Condo",3,0,2,1,1,1996,71,"1m-1.25m","70-100",103.7527669,1.3554423,"West"
"93123",93123,93123,"CAVENAGH HOUSE, CLEMENCEAU AVENUE NORTH, Singapore","CAVENAGH HOUSE","CLEMENCEAU AVENUE NORTH",136460,3600000,"2023-09-01","Strata",152,23684,"Apartment",9,"Core Central Region","11 to 15","Apartment & Condo",4,0,2,1,1,NA,NA,"3m-4m",NA,103.8407621,1.3079768,"South"
"94409",94409,94409,"CLOVER BY THE PARK, BISHAN STREET 25, Singapore","CLOVER BY THE PARK","BISHAN STREET 25",125218,2320000,"2023-11-01","Strata",120,19333,"Condominium",20,"Rest of Central Region","11 to 15","Apartment & Condo",3,0,2,1,1,2007,82,"2m-2.5m","70-100",103.845371,1.35926,"Central"
"74535",74535,74535,"Block 674A, YISHUN AVE 4, Singapore","HDB","YISHUN AVE 4",49492,547000,"2023-10-01","Non",93,5881.72043,"Model A HDB",27,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2018,94,"500k-600k","70-100",103.8406564,1.4185912,"North"
"46330",46330,46330,"Block 4, HOLLAND CL, Singapore","HDB","HOLLAND CL",9040,350000,"2021-07-01","Non",65,5384.615385,"Improved HDB",3,"Rest of Central Region","1 to 5","Public Housing",3,0,1,1,1,1974,51.91666667,"300k-400k","50-70",103.7957992,1.3075068,"South"
"77622",77622,77622,"Block 704, HOUGANG AVE 2, Singapore","HDB","HOUGANG AVE 2",19589,412000,"2021-05-01","Non",96,4291.666667,"New Generation HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1985,63.58333333,"400k-500k","50-70",103.884852,1.3681714,"East"
"39302",39302,39302,"Block 317, CLEMENTI AVE 4, Singapore","HDB","CLEMENTI AVE 4",53659,568000,"2022-07-01","Non",91,6241.758242,"New Generation HDB",5,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1979,55.91666667,"500k-600k","50-70",103.7660987,1.3186409,"South"
"59058",59058,59058,"Block 504B, MONTREAL DR, Singapore","HDB","MONTREAL DR",54577,570000,"2024-02-01","Non",110,5181.818182,"Improved HDB",27,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2001,76.33333333,"500k-600k","70-100",103.8244035,1.4517958,"North"
"42847",42847,42847,"Block 340, BT BATOK ST 34, Singapore","HDB","BT BATOK ST 34",18638,406888,"2023-08-01","Non",73,5573.808219,"Model A HDB",23,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1987,62.91666667,"400k-500k","50-70",103.7499928,1.3637652,"West"
"138422",138422,138422,"WATERFRONT ISLE, BEDOK RESERVOIR ROAD, Singapore","WATERFRONT ISLE","BEDOK RESERVOIR ROAD",121369,910000,"2023-12-01","Strata",59,15424,"Condominium",16,"Outside Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,2009,84,"900k-1m","70-100",103.9278526,1.3381536,"East"
"138033",138033,138033,"WATERBAY, EDGEFIELD PLAINS, Singapore","WATERBAY","EDGEFIELD PLAINS",98309,1598000,"2024-01-01","Strata",106,15075,"Executive Condominium",19,"Outside Central Region","06 to 10","Executive Condo",2,0,1,1,1,2012,87,"1.5m-2m","70-100",103.9090538,1.4008414,"North"
"83002",83002,83002,"Block 804B, KEAT HONG CL, Singapore","HDB","KEAT HONG CL",55316,575000,"2024-02-01","Non",93,6182.795699,"Model A HDB",23,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,2017,92.41666667,"500k-600k","70-100",103.7425722,1.3744652,"West"
"37442",37442,37442,"Block 309D, ANCHORVALE RD, Singapore","HDB","ANCHORVALE RD",32101,470000,"2022-12-01","Non",95,4947.368421,"Premium Apartment HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2002,79,"400k-500k","70-100",103.8872437,1.3933007,"North"
"9754",9754,9754,"Block 121, PENDING RD, Singapore","HDB","PENDING RD",50818,550800,"2022-12-01","Non",121,4552.066116,"Improved HDB",23,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1987,64,"500k-600k","50-70",103.7710963,1.3762379,"West"
"124552",124552,124552,"SUNGLADE, SERANGOON AVENUE 2, Singapore","SUNGLADE","SERANGOON AVENUE 2",123449,1680000,"2023-03-01","Strata",108,15556,"Condominium",19,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2000,75,"1.5m-2m","70-100",103.8712287,1.3489584,"East"
"30657",30657,30657,"Block 267, BISHAN ST 24, Singapore","HDB","BISHAN ST 24",78542,780000,"2024-03-01","Non",111,7027.027027,"Model A HDB",20,"Rest of Central Region","6 to 10","Public Housing",4,0,2,1,1,1992,67.5,"700k-800k","50-70",103.844408,1.3565862,"Central"
"124325",124325,124325,"SUITES 28, LORONG 30 GEYLANG, Singapore","SUITES 28","LORONG 30 GEYLANG",120049,1138000,"2023-11-01","Strata",79,14405,"Apartment",14,"Rest of Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,NA,NA,"1m-1.25m",NA,103.8860985,1.3126439,"East"
"97069",97069,97069,"EAST VIEW GARDEN, JALAN PERGAM, Singapore","EAST VIEW GARDEN","JALAN PERGAM",92462,1680000,"2022-01-01","Land",366.9,4579,"Semi-Detached House",16,"Outside Central Region","-","Landed",5,1,3,1,1,1965,40,"1.5m-2m","30-40",103.9615492,1.3451034,"East"
"49473",49473,49473,"Block 422, JURONG WEST ST 42, Singapore","HDB","JURONG WEST ST 42",29906,460000,"2023-09-01","Non",84,5476.190476,"Simplified HDB",22,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1985,60.75,"400k-500k","50-70",103.7216459,1.3531391,"West"
"113275",113275,113275,"PARC BOTANNIA, FERNVALE STREET, Singapore","PARC BOTANNIA","FERNVALE STREET",116616,1097000,"2024-01-01","Strata",62,17694,"Condominium",28,"Outside Central Region","16 to 20","Apartment & Condo",1,0,1,1,1,2016,91,"1m-1.25m","70-100",103.8749918,1.3983861,"North"
"34854",34854,34854,"Block 295B, COMPASSVALE CRES, Singapore","HDB","COMPASSVALE CRES",39008,5e+05,"2022-04-01","Non",110,4545.454545,"Improved HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2002,78.91666667,"500k-600k","70-100",103.8982054,1.3972429,"North"
"111977",111977,111977,"OLEANAS RESIDENCE, KIM YAM ROAD, Singapore","OLEANAS RESIDENCE","KIM YAM ROAD",135222,3100000,"2022-06-01","Strata",144,21528,"Condominium",9,"Core Central Region","16 to 20","Apartment & Condo",4,0,2,1,1,NA,NA,"3m-4m",NA,103.8390921,1.2934173,"South"
"53358",53358,53358,"Block 452, YISHUN RING RD, Singapore","HDB","YISHUN RING RD",1593,280000,"2022-04-01","Non",47,5957.446809,"Model A HDB",27,"Outside Central Region","1 to 5","Public Housing",1,0,1,1,1,2012,89.33333333,"200k-300k","70-100",103.8321027,1.4260651,"North"
"47505",47505,47505,"Block 408C, FERNVALE RD, Singapore","HDB","FERNVALE RD",44971,525800,"2023-06-01","Non",95,5534.736842,"Premium Apartment HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2005,80.75,"500k-600k","70-100",103.8761093,1.3938619,"North"
"1565",1565,1565,"ARDISIA GARDENS, SERANGOON TERRACE, Singapore","ARDISIA GARDENS","SERANGOON TERRACE",93010,3460000,"2023-04-01","Land",390.8,8854,"Semi-Detached House",19,"Outside Central Region","-","Landed",5,2,3,1,1,1993,68,"3m-4m","50-70",103.8773675,1.3476483,"East"
